Sample,   PC1,   PC2,     A,SiO2 wt%
s 35VIE 66-1/16.25 [13590], 12.10, -0.09,  3.56, 50.97
s 87TOH 95-1 [13590],  4.47, -9.96,  4.31, 48.47
s 478856 [13997], -3.49,-16.49,  0.06, 46.18
s 191099 [17170],  6.65, -5.54,  0.05, 48.26
s 145EJL 93-6 [13590], 15.38,  3.14,  0.01, 50.16
s PIC-97 [18733], 13.28, -4.85,  0.19, 47.94
s 478831 [13997], -4.41,-16.68,  0.06, 46.36
s 2002-43 [8521], 31.31, 19.56,  0.02, 46.49
s 29TOH 94-1 [13590], 17.75,  6.97,  2.90, 50.46
s 75TTT 97-1 [13590], 15.65,  4.19,  0.01, 49.24
s 478826 [13997], -4.11,-16.67,  0.06, 46.34
s 478827 [13997], -3.12,-15.90,  0.03, 46.43
s 478836 [13997], 13.73, -0.52,  0.10, 46.71
s BA [7107],  2.09, -0.84,  2.62, 53.92
s GC140697 [7097],  2.33, -9.39,  0.53, 49.57
s 23TTT 96-1 [13590], 19.49,  9.08,  0.15, 49.93
s 106JTL 95-1 [13590], 18.36,  2.95,  1.17, 48.02
s 478805 [13997], -3.47,-16.52,  0.04, 46.52
s 478855 [13997], -4.04,-16.76,  0.05, 46.39
s PIC-109 [18733],  2.00,-12.64,  0.56, 48.47
s 478824 [13997], -4.35,-16.77,  0.05, 46.50
s 191086 [17170],  3.34, -9.50,  0.06, 49.26
s 511173 [16158], -6.50,-15.85,  0.10, 47.91
s 155TTT 97-1 [13590], 16.87,  1.78,  0.22, 48.70
s 114TOH 94-1 [13590], 17.30,  2.38,  0.28, 48.75
s 119TOH 94-1 [13590], 17.46,  1.57,  0.08, 48.34
s 35VIE 66-2/29.36 [13590], 16.12,  2.04,  4.72, 49.10
s 478801 [13997], -2.62,-15.16,  0.07, 46.65
s PIC-125 [18733],  5.35,-10.61,  0.17, 47.82
s PIC-89 [18733],  2.07,-13.54,  1.13, 48.10
s 3ARO 93-1/133.40 [13590],  7.50, -6.28,  1.79, 49.64
s 477311 [10271],  8.78, -5.29,  0.10, 47.68
s 4700-6148 [8678],  3.89,-10.43,  1.18, 48.02
s K644 [5122], -2.09, -7.64,  0.81, 54.04
s PIC-45B [18733],  2.64,-12.69,  0.58, 48.01
s 98-YK-2 [8924],  2.90, -8.96,  0.31, 48.86
s 264TOH 93-1 [13590], 18.79,  3.97,  2.33, 48.54
s 478808 [13997], -2.64,-15.33,  0.06, 46.89
s 478852 [13997], -4.25,-15.98,  0.10, 46.94
s 478825 [13997], -5.72,-16.98,  0.06, 46.77
s 478846 [13997], -2.29,-14.34,  0.23, 46.96
s 98-YK-22 [8924],  3.82, -8.13,  0.17, 49.11
s 84-186 [13429],  4.11, -8.35,  0.16, 49.42
s 86226 [7221],  7.18, -9.33,  0.09, 47.02
s 478816 [13997], -6.17,-17.13,  0.28, 46.91
s 93-28 [5686],  9.94, -2.11,  0.17, 49.86
s 477347 [10271],  4.65, -8.53,  0.13, 48.28
s 510995 [17073],  6.45, -5.95,  0.15, 49.03
s C10-148B [18756],  3.72, -9.13,  0.65, 48.98
s K643 [5122], -1.93, -7.73,  0.10, 53.91
s MC7-6 [16702], 24.34, 12.25,  0.01, 47.73
s 478829 [13997], -2.94,-14.18,  0.20, 47.51
s MAC-1 [7107],  7.85, -1.15,  3.01, 50.96
s 87-15 [13429],  4.28, -8.52,  0.20, 48.96
s DY-64 [12751],  8.40, -7.17,  0.05, 48.11
s 510601 [17073],  3.73, -7.79,  0.00, 49.66
s DY-65 [12751], 12.43, -2.64,  0.03, 49.42
s 510960 [17073],  3.97, -7.51,  0.00, 49.40
s 478851 [13997], -3.49,-15.10,  0.09, 47.17
s 478872 [13997], -5.55,-15.77,  0.94, 47.08
s 468783 [16158], -0.50,-12.15,  0.09, 47.84
s DY-45 [12751], 13.05, -4.58,  0.08, 48.05
s 70TOH 95-1 [13590],  4.42, -8.57,  5.89, 49.40
s 53TOH 96-1 [13590],  3.96, -8.29,  6.42, 49.50
s HOG6 [16702], 18.12,  3.40,  0.03, 48.22
s 478841 [13997], -1.50,-13.50,  0.06, 47.38
s AD [7107],  5.10, -2.91,  3.25, 51.11
s PIC-68 [18733],  0.19,-12.74,  1.71, 49.53
s 193903 [17170], -5.20,-13.31,  0.04, 49.24
s 61TOH 95-1 [13590], 13.61,  0.88,  4.69, 50.40
s 478843 [13997], -2.03,-13.80,  0.08, 47.52
s G91-16 [5827],  6.55,-13.30,  1.52, 49.44
s PL-4 [6812],  4.53,  1.13,  2.22, 52.97
s 87-18 [13429],  3.81, -8.77,  0.11, 49.42
s 193926 [17170],  3.39, -7.64,  0.05, 50.05
s 478828 [13997], -3.35,-13.79,  0.20, 47.93
s 478869 [13997], -5.77,-16.43,  0.31, 47.50
s CP-96 [6812],  6.85, -4.99,  2.32, 50.70
s 87-14 [13429],  3.49, -6.79,  0.61, 49.89
s 145EJL 93-6 [13590],  6.38, -7.02,  0.02, 49.34
s C10-148 [18756],  3.73, -9.13,  0.47, 48.97
s 6SII 93-3/64.80 [13590], 16.83,  8.20,  1.75, 51.06
s PL-3 [6812],  4.47,  1.58,  2.57, 53.42
s 98-YK-3 [8924],  2.91, -8.73,  0.30, 49.85
s 478806 [13997],  3.60,-11.92,  0.07, 48.24
s LE [6812],  6.51, -1.74,  1.40, 51.91
s 191093 [17170], -1.54,-10.42,  0.54, 51.03
s 98-YK-34 [8924],  2.03, -8.79,  0.24, 49.81
s DY-88 [12751], 11.96, -1.17,  0.07, 49.22
s 265TOH 93-1 [13590], 13.45,  0.54,  0.60, 50.73
s 65KSL 97-2 [13590], 10.35, -1.89,  0.16, 50.43
s BEA [7107],  4.15, -3.20,  2.27, 51.65
s 190949 [17170],  1.54, -9.47,  0.11, 49.42
s 12TTT 96-1 [13590],  3.66, -7.15,  0.82, 50.48
s 478850 [13997],  1.04,-10.54,  0.15, 48.07
s PM-S9 [6812],  2.57, -2.33,  1.50, 53.22
s 193906 [17170],  1.25, -7.61,  0.05, 50.51
s K288 [5122], -3.49, -6.88,  0.17, 55.69
s 193939 [17170],  4.82, -7.08,  0.03, 49.41
s 114JSK 93-1/55.50 [13590], 16.56,  3.27,  5.83, 49.76
s 62TOH 96-1 [13590],  8.79, -5.78,  2.35, 50.49
s 176IJY 94-1 [13590],  2.11,-10.03,  6.01, 49.78
s 96TB0053 [5196],  0.56, -7.20,  0.23, 53.10
s 145EJL 93-6 [13590],  6.66, -6.05,  0.02, 49.85
s 200TTT 96-1 [13590],  3.68, -8.83,  0.31, 49.49
s 35VIE 66-2/23.70 [13590], 14.71,  1.70,  2.36, 50.16
s BL-3 [6812],  1.21, -1.06,  2.31, 54.05
s A11 [9105],  1.03, -2.96,  3.91, 52.86
s 191091 [17170],  2.99, -8.05,  0.03, 49.97
s 214TTT 97-2 [13590], 16.91,  7.61,  2.32, 51.39
s 35VIE 66-1/19.00 [13590], 13.92,  1.67,  2.43, 50.85
s 35VIE 66-2/199.65 [13590], 11.98, -0.02,  2.38, 50.96
s 52TTT 97-4 [13590], 16.19,  6.95,  4.07, 51.33
s 478845 [13997], -2.78,-12.79,  0.37, 48.31
s LM-8 [12751],  6.13, -5.94,  0.10, 49.79
s 142318 [5526],  4.34, -8.79,  0.11, 48.87
s K291 [5122], -4.31, -6.86,  0.26, 55.59
s DY-46 [12751], 11.54, -4.58,  0.22, 49.14
s CD04 [18756],  2.85, -7.19,  0.90, 50.15
s 124TOH 94-1 [13590], 16.16,  4.95,  2.34, 50.89
s 214TTT 97-2 [13590], 16.91,  7.70,  4.65, 51.32
s 35VIE 66-1/7.43 [13590], 13.67,  1.31,  3.53, 50.75
s 72TTT 96-1 [13590],  3.08,-11.51,  0.03, 50.51
s S1R [7107],  6.18,  0.36,  2.37, 52.16
s 103JSK 93-1 [13590], 12.56,  0.14,  4.10, 50.85
s 153JSK 93-1 [13590], 12.56, -0.27,  1.77, 50.94
s 50TTT 96-2 [13590],  2.32, -7.36,  5.57, 50.44
s 72JTL 95-1 [13590],  3.87, -5.71,  2.33, 50.89
s 193933 [17170],  0.87, -7.96,  0.08, 50.03
s DY-83 [12751], 10.76, -4.02,  0.03, 49.93
s DY-75 [12751],  6.90, -4.50,  0.24, 49.44
s 162-BG-08 [16555], 14.59,  1.06,  0.03, 50.15
s 145EJL 93-2 [13590], 16.15,  9.15,  0.00, 52.40
s PIC-122 [18733],  0.31,-11.10,  0.44, 49.98
s 102JSK 93-1 [13590], 13.95,  1.44,  1.81, 50.62
s 107JSK 93-1/0.90 [13590], 15.17,  2.32,  2.33, 50.44
s 35VIE 66-1/12.17 [13590], 13.06,  1.11,  3.53, 51.10
s 35VIE 66-2/258.42 [13590], 13.76,  1.58,  4.09, 50.94
s 3ARO 93-1/65.00 [13590], 15.94,  2.14,  0.60, 49.79
s 478803 [13997],  5.26, -7.28,  0.11, 48.79
s JEH-2007–12 [15680],  3.13, -8.22,  0.08, 50.49
s YK-13 [5571],  4.15, -8.37,  0.13, 49.63
s 193937 [17170],  0.33, -8.12,  0.07, 50.15
s 35VIE 66-1/3.85 [13590], 13.21,  1.08,  2.94, 51.00
s 3ARO 93-1/8.30 [13590], 15.03,  2.58,  1.17, 50.56
s PBA99-1333A [5524],  3.80, -7.87,  0.33, 50.20
s GC260697 [7097],  3.33, -7.80,  0.20, 50.71
s 468784 [16158],  2.78, -8.93,  0.09, 49.69
s C10-128 [18756],  4.39, -5.01,  0.30, 50.19
s 45TOH 95-2 [13590],  6.10, -5.26,  4.84, 51.56
s 478833 [13997], 15.44, -0.16,  0.09, 49.33
s PD [6812],  3.53, -1.87,  4.16, 52.17
s 510690 [17073],  1.77, -7.67,  0.21, 50.90
s 11693 [6027],  1.74, -5.61,  1.58, 52.58
s 3ARO 93-1/82.00 [13590], 13.11,  0.95,  2.45, 50.71
s 71IJY 94-2 [13590],  4.66, -6.45,  4.09, 50.62
s C-1833-11 [5792], 10.64, -0.22,  0.06, 50.95
s K296 [5122], -5.06, -6.97,  0.20, 55.79
s 510710 [17073],  3.49, -7.14,  0.07, 50.17
s 95TTT 97-1 [13590],  9.95, -1.86,  1.81, 52.02
s 478832 [13997], -0.79,-11.32,  0.14, 49.12
s 510708 [17073],  3.51, -6.54,  0.13, 50.36
s 4700-0416A [8678],  1.80, -8.20,  1.37, 50.45
s 206TTT 96-3 [13590],  6.48, -5.29,  2.95, 51.61
s 44TOH 95-1 [13590], 12.08,  0.51,  3.57, 51.20
s 193911 [17170],  7.19, -2.75,  0.07, 51.19
s 193940 [17170],  4.19, -5.95,  0.05, 50.46
s 497103 [13997],  4.12, -7.94,  0.16, 49.79
s C10-122 [18756],  3.13, -6.27,  0.64, 50.62
s 22TTT 96-1 [13590], 16.95,  9.84,  0.09, 52.28
s 339922 [6045],  5.15, -5.73,  0.01, 49.04
s 14JSN 95-1 [13590],  0.70, -8.40,  0.03, 50.31
s 112TOH 94-1 [13590], 13.02,  0.18,  1.17, 51.31
s 63TOH 96-1 [13590],  7.19, -4.50,  1.31, 51.51
s BEA3-1 [7107],  1.93, -3.34,  2.12, 52.89
s A1 [7107],  3.40, -2.90,  2.01, 52.76
s 485476 [11627],  4.31, -7.48,  0.17, 49.80
s K295 [5122], -4.85, -6.80,  0.27, 55.79
s 106JSK 93-1 [13590], 12.99,  1.07,  2.40, 51.14
s 121IJY 94-2 [13590],  1.79, -8.19,  4.18, 51.49
s 75IJY 94-1 [13590],  0.75, -9.78,  0.16, 51.18
s 76IJY 94-1 [13590],  1.78, -9.02,  0.13, 50.95
s 478819 [13997],  3.68, -7.43,  0.04, 49.44
s 515802 [16158],  1.23, -8.45,  0.10, 50.53
s 485467 [11627],  5.24, -6.95,  0.19, 49.97
s C10-111 [18756],  3.49, -4.22,  0.60, 51.19
s 201TTT 96-1 [13590], 15.52,  7.54,  0.14, 52.49
s 18SII 94-2/78.35 [13590],  1.97, -7.19,  3.58, 51.16
s 478840 [13997], -7.59,-13.88,  0.12, 49.36
s 478830 [13997],  2.84, -8.12,  0.05, 49.68
s PBA99-1335 [5524],  2.60, -8.84,  0.54, 50.37
s 485438 [11627],  6.83, -1.97,  0.26, 49.87
s 145EJL 93-2 [13590], 16.52, 10.64,  0.00, 53.17
s 477310 [10271],  2.18, -8.50,  0.22, 50.44
s 100TTT 97-1 [13590],  9.22, -4.81,  0.30, 50.66
s 149TOH 93-1 [13590], -0.47, -3.33,  4.46, 50.85
s 45TOH 95-1 [13590],  6.45, -4.43,  2.99, 52.01
s 68TOH 94-1 [13590], 14.42,  6.41,  2.32, 52.99
s 69TOH 94-1 [13590], 13.65,  2.76,  1.74, 51.81
s 4700-6147/R [8678],  1.66, -7.38,  1.38, 51.05
s 289145 [6045],  3.41, -5.10,  0.06, 49.79
s GC080697 [7097],  2.66, -6.43,  0.31, 50.71
s LM-7 [12751],  6.13, -3.69,  0.99, 51.12
s 98-YK-24 [8924],  1.99, -8.76,  0.45, 51.52
s 107JSK 93-1/52.00 [13590], 11.81,  1.00,  2.97, 52.10
s 199TTT 96-1 [13590],  9.16, -2.18,  0.60, 52.43
s 52TTT 97-2 [13590], 16.04,  9.52,  3.49, 52.93
s 70IJY 94-1 [13590],  0.91, -8.13,  4.71, 51.83
s 4700-6147 [8678],  1.62, -7.36,  1.40, 51.08
s 183TTT 96-4 [13590], 10.54, -1.73,  0.52, 51.34
s 9804927A [5526],  3.37, -7.69,  0.20, 50.75
s 65TOH 96-1 [13590],  0.38, -7.91,  3.12, 51.72
s 68TOH 96-3 [13590],  1.06, -7.49,  4.80, 52.48
s 478817 [13997],  5.16, -5.61,  0.33, 50.06
s 339163 [6045],  2.84, -5.02,  0.32, 50.11
s GC270697 [7097],  2.33, -4.38,  0.11, 53.18
s NORITE ALL [6045],  4.91, -3.77,  0.07, 49.94
s 181-BG-08 [16555],  2.52, -9.20,  0.12, 50.49
s 306JTL 97-1 [13590],  1.60, -8.87,  3.59, 50.74
s 86-285 [13429],  1.60, -6.59,  0.19, 52.55
s 142317 [5526],  3.28, -7.34,  0.07, 50.59
s 94161 [5747],  7.75, -0.99,  0.48, 51.45
s 100TOH 95-1 [13590],  1.61, -5.05,  0.39, 51.75
s 125TOH 94-1 [13590],  0.89, -8.06,  3.00, 51.74
s 96TTT 97-1 [13590],  7.89, -3.18,  3.05, 51.95
s BL-2 [6812], -3.00, -2.47,  1.91, 55.96
s 278710 [6045],  6.10, -2.83,  0.02, 50.13
s 4700-0320 [8678],  1.43, -6.32,  0.98, 51.69
s 9804927C [5526],  2.85, -5.12,  0.24, 51.37
s 21TTT 97-1 [13590], 16.92, 10.37,  5.81, 53.25
s GC030697 [7097],  2.82, -7.81,  0.13, 51.31
s 145EJL 93-6 [13590], 16.27,  9.25,  0.00, 53.23
s 4700-0416B [8678], -0.34, -7.61,  1.72, 51.64
s 111TOH 94-1 [13590],  7.11, -0.04,  0.46, 51.70
s K306 [5122], -5.75, -6.40,  0.18, 56.98
s 161TOH 93-1 [13590],  5.93, -1.51,  5.91, 52.49
s 53TOH 94-1 [13590],  3.08, -5.35,  2.36, 52.59
s MB-3 [7107], -0.77, -2.29,  3.77, 54.27
s MA-1 [6812], -1.54, -3.57,  1.62, 54.56
s 485428 [11627],  3.25, -7.87,  0.06, 50.96
s GC100697 [7097],  4.04, -6.19,  0.34, 51.67
s 89TTT 97-1 [13590], -0.35, -8.02,  0.92, 51.98
s 478839 [13997], -7.84,-12.66,  0.10, 50.31
s KL-1100 [6805],  2.60, -5.14,  1.13, 52.57
s Z18451 [6027], -1.65, -1.60,  2.15, 55.94
s 113TTT 96-1 [13590],  2.71, -2.61,  0.57, 52.24
s 485472 [11627],  3.66, -5.43,  0.19, 50.93
s 104JSK 93-1 [13590], 10.98,  0.92,  1.21, 52.55
s 153TTT 97-1 [13590],  0.99, -7.13,  2.03, 51.64
s 5TOH 95-1 [13590],  1.56, -7.25,  4.23, 51.96
s 485485 [11627],  3.51, -6.22,  0.15, 50.94
s K287 [5122], -5.84, -5.67,  0.16, 57.23
s 273JTL 97-1 [13590],  1.60, -8.48,  1.25, 51.42
s 478849 [13997], -4.91,-11.13,  0.15, 50.58
s DI-1 [6812],  1.46, -4.99,  2.49, 52.73
s 339164 [6045],  7.04, -0.16,  0.12, 50.67
s 190920 [17170],  3.42, -5.67,  0.04, 50.85
s 71TOH 94-1 [13590], 13.98,  7.95,  4.07, 53.81
s DI-4 [6812],  0.65, -4.01,  2.38, 53.50
s 145EJL 93-5 [13590], -1.93, -6.42,  0.40, 51.94
s 38TTT 96-1 [13590],  0.05, -7.71,  7.73, 51.90
s 63SMS 63-3/160.05 [13590],  1.32, -5.73,  1.79, 52.78
s 22TTT 96-1 [13590], 10.39,  2.69,  0.29, 52.41
s 144TTT 96-2 [13590], 15.07,  9.47,  0.08, 53.82
s LM-9 [12751],  3.94, -3.46,  0.47, 52.38
s 42-BG-04 [16555],  2.44, -7.98,  0.36, 51.07
s 24HP 93-1 [13590],  1.86, -6.19,  5.88, 52.56
s 70TOH 94-1 [13590], 11.94,  4.69,  1.17, 54.00
s BL-1 [6812], -3.01, -2.82,  2.11, 56.68
s CP7-L [6812], -0.09, -1.65,  2.24, 55.07
s SC97-39 [13001],  4.39, -4.87,  0.49, 51.53
s 515803 [16158],  1.64, -5.86,  0.35, 52.24
s 152TOH 93-1 [13590],  1.72, -3.57,  4.09, 52.85
s 63TTT 97-1 [13590],  1.71, -3.91,  3.32, 52.24
s 12TOH 96-3 [13590],  7.69,  1.99,  4.82, 53.57
s 8004 [6027], -0.87, -1.57,  3.24, 55.39
s 485477 [11627],  1.84, -6.55,  0.20, 51.59
s 5TTT 96-1 [13590], -0.85, -7.34,  6.13, 52.64
s 36TTT 96-1 [13590],  7.96, -1.97,  0.41, 52.52
s 108838 [6027], -1.34,  0.88,  2.12, 56.94
s 497105 [13997],  2.06, -6.84,  0.24, 51.83
s GR-1 [6812], -6.43,  0.88,  2.62, 60.34
s 36-BG-04 [16555],  1.66, -8.42,  0.33, 51.72
s 182-BG-08 [16555], -1.11, -7.25,  0.34, 53.53
s 4700-2280 [8678],  1.58, -6.19,  0.40, 52.71
s 201TTT 96-2 [13590], 13.20,  6.40,  0.15, 53.85
s 12TOH 96-1 [13590],  0.80, -4.61,  1.93, 52.86
s CR1 [7107], -1.58, -3.35,  2.57, 54.17
s MU-B [7107], -1.70, -2.95,  1.44, 54.71
s 62 [8920],  2.49, -4.47,  0.22, 52.43
s 180TOH 93-1 [13590],  2.14, -3.28,  3.51, 53.35
s AD-3 [7107],  2.51, -0.57,  2.39, 53.76
s SH-2 [6812], -1.31, -3.45,  1.20, 53.84
s 142264 [7195], -2.22, -7.00,  0.72, 53.19
s C10-147 [18756],  0.81, -5.74,  0.40, 52.84
s 185TTT 96-2 [13590], -0.88, -8.31,  3.04, 52.62
s 3TTT 97-1 [13590],  0.65, -6.20,  4.13, 52.69
s 66TTT 97-1 [13590], 10.02,  1.87,  2.38, 53.34
s SC97-37 [13001],  4.22, -4.16,  0.25, 52.29
s 4700-4343 [8678],  0.60, -6.59,  1.18, 53.18
s 3TOH 93-1 [13590],  1.18, -3.71,  3.53, 53.50
s GR-3 [6812], -2.32,  1.75,  3.71, 57.57
s 4700-2057 [8678],  1.60, -5.21,  0.39, 53.39
s 9804927B [5526],  1.57, -4.92,  0.25, 52.92
s 110TOH 94-1 [13590],  9.93,  2.46,  7.14, 54.46
s GC280697 [7097],  0.12, -4.97,  0.64, 53.97
s 142314 [7195], -1.28, -6.10,  0.76, 53.46
s 125JTL 97-1 [13590], -2.91, -8.42,  6.05, 53.11
s 201TTT 96-3 [13590], 13.48,  7.59,  0.14, 54.49
s 11SII 94-2/62.20 [13590],  0.62, -3.99,  4.72, 53.36
s 150TTT 97-1 [13590],  1.58, -2.83,  0.48, 53.17
s 37TTT 96-1 [13590], -1.19, -7.00,  2.51, 53.15
s 8019 [6027], -0.47, -1.80,  3.56, 54.68
s 497108 [13997], 12.53,  5.73,  0.54, 52.61
s SC97-34 [13001],  2.14, -4.94,  0.23, 52.82
s 8012 [6027],  0.07, -2.08,  2.31, 54.44
s 142485 [7195],  0.88, -0.25,  1.01, 55.74
s 114TTT 96-1 [13590],  1.12, -3.18,  0.25, 53.15
s 12TTT 96-1 [13590], -1.31, -6.09,  1.04, 53.73
s 93-32 [5686], -2.26, -5.22,  2.06, 53.93
s 108847 [6027], -5.15, -0.46,  1.11, 58.13
s 22TOH 95-1 [13590], -0.60, -1.99,  2.20, 54.10
s V1 [7107], -3.83, -5.52,  2.80, 54.72
s MU-A [7107], -2.14, -2.00,  1.40, 55.54
s 14096 [6027],  0.75, -1.79,  0.84, 54.96
s Z18444 [6027], -3.00,  0.40,  1.87, 58.25
s 142263 [7195], -0.07, -4.07,  0.73, 54.22
s 510684 [17073], -0.86, -1.63,  0.20, 55.00
s 14SMS 70-6/108.60 [13590],  0.22, -5.30,  1.89, 53.98
s SC97-38 [13001],  3.86, -2.60,  0.19, 53.29
s 200TTT 96-2 [13590],  9.22,  1.88,  0.32, 53.95
s 6SII 93-3/99.80 [13590], 12.04,  7.25,  0.22, 55.42
s 190506 [17170],  3.84, -2.73,  0.29, 53.57
s 156TOH 93-1 [13590],  2.53, -0.60,  0.62, 54.92
s 478842 [13997], -9.64,-10.95,  0.08, 52.63
s PM-S2 [6812], -4.73, -2.75,  2.03, 56.98
s 5SII 93-2/100.95 [13590], 12.71,  8.86,  1.17, 55.70
s DY-38 [12751], -1.66, -3.70,  1.10, 54.52
s RE-7 [6812], -2.66, -3.05,  3.77, 55.28
s SC97-35 [13001],  2.93, -3.18,  0.41, 53.76
s SC97-36 [13001],  2.97, -3.08,  0.23, 53.88
s 142491 [7195], -3.63, -3.93,  1.74, 56.01
s 94117 [5747],  2.36, -1.37,  1.00, 54.86
s 171-BG-08 [16555],  1.16, -2.59,  1.11, 54.42
s 142336 [7195], -1.74, -2.91,  1.56, 55.35
s GC370697 [7097], -2.69, -2.96,  0.11, 56.89
s 142331 [7195], -1.77, -4.53,  1.09, 55.58
s Z18493 [6027], -4.03,  1.48,  4.89, 57.72
s 16932 [6027], -9.03,  2.31,  1.54, 62.84
s WP106 [16702], -0.82, -4.57,  0.06, 54.25
s 142492 [7195], -3.91, -3.80,  1.55, 56.72
s 96087 [12698], -7.12, -3.06,  8.96, 57.20
s 190950 [17170], -0.77, -4.11,  0.25, 54.72
s 108TOH 93-1 [13590], -7.51, -4.22,  6.52, 56.75
s 11SII 94-2/123.70 [13590], -0.38, -2.20,  3.55, 54.99
s 96069 [12698], -3.64, -0.83,  9.96, 55.89
s 96068 [12698], -3.64, -0.99,  7.20, 55.93
s 94234 [5747], -0.72, -2.52,  2.03, 55.81
s 94163 [5747], -2.70, -4.09,  1.90, 56.05
s 47-BG-04 [16555], -2.45, -5.75,  0.25, 55.04
s Z40001 [6027], -0.37,  0.41,  1.67, 55.95
s 108834 [6027], -5.47,  1.61,  1.49, 60.04
s 516518 [17073], -1.38, -2.66,  0.11, 56.53
s L31 [5202], -6.07, -3.86,  1.47, 54.91
s Z40016 [6027], -0.72,  0.02,  1.68, 56.51
s 94115 [5747], -0.14, -2.55,  0.91, 55.81
s BB-11 [6805], -5.09, -5.30,  0.61, 55.99
s 96085 [12698], -7.64, -2.14, 11.07, 58.01
s V48-1 [13427], -2.19, -1.49,  1.53, 56.32
s 176-BG-08 [16555], -3.20, -2.20,  0.57, 56.94
s 88RPS-0001 [5824], -8.02, -5.23,  1.76, 55.71
s 328565 [6045], -6.64, -4.12,  0.43, 56.74
s PL-2 [6812], -3.72, -2.20,  2.07, 57.34
s U917/24 [5549], -3.19, -4.41,  1.14, 56.45
s CB-3 [6812], -6.78, -2.48,  1.46, 58.46
s Z40013 [6027], -1.49,  0.45,  1.70, 57.10
s 93-31 [5686],-10.20, -2.14,  2.97, 57.07
s Z40014 [6027], -1.17,  0.21,  1.81, 56.85
s 94134 [5747], -2.16, -3.31,  1.19, 56.47
s 85A [6812], -3.89,  0.56,  1.41, 57.89
s Z18471 [6027], -2.18,  2.60,  1.24, 57.70
s 485484 [11627], -4.75, -5.63,  0.31, 56.42
s 2 [5549], -2.16, -2.72,  1.37, 56.79
s Z36414 [6027], -1.88,  1.18,  1.33, 58.05
s 14616 [6027], -2.05,  1.30,  2.23, 57.61
s Z19027 [6027], -2.40,  0.96,  2.36, 57.87
s 93-33 [5686], -9.12, -2.01,  3.10, 57.64
s Z36417 [6027], -1.39,  1.34,  0.92, 57.93
s Z36413 [6027], -1.83,  1.26,  0.92, 57.97
s 9731 [6027], -2.55, -0.80,  3.80, 58.60
s Z15976 [6027], -7.63,  1.90,  4.18, 61.56
s Z27949 [6027], -3.22, -1.09,  1.26, 57.79
s Z36412 [6027], -2.42,  1.82,  1.01, 58.46
s 328563 [6045], -7.24, -2.56,  0.48, 57.88
s CB-7 [6812], -6.91,  0.11,  0.90, 60.68
s 485483 [11627], -6.02, -3.46,  0.38, 57.53
s PT-1 [6805], -7.12, -1.16,  1.09, 58.27
s Z36408 [6027], -5.71,  2.10,  1.24, 59.95
s 106681 [6027], -6.14, -0.58,  1.55, 59.90
s 9730 [6027], -5.57, -0.29,  4.02, 60.47
s Z18470 [6027], -7.26,  2.27,  1.80, 60.62
s 328567 [6045], -8.40, -1.74,  0.49, 59.56
s PT-18 [6805], -8.47, -0.63,  0.76, 59.36
s Z27932 [6027], -7.03,  1.06,  1.15, 60.95
s 03SJP096-2-1 [12863], -8.81, -1.90,  0.64, 59.94
s 191094 [17170],-12.09, -1.43,  1.71, 60.33
s Z18500 [6027], -7.89,  0.41,  1.38, 60.47
s 15295 [6027], -7.89,  1.12,  2.88, 60.88
s 47119 [6027], -7.06,  0.54,  1.56, 60.33
s A9 [9105],-13.50,  0.74, 12.35, 60.63
s U917/24 [5549], -3.28, -3.81,  1.10, 56.92
s QEQERTAUSSAQ DIORITE [6045], -9.21, -1.14,  0.89, 60.26
s 11707A [6027], -8.44,  1.16,  2.18, 61.75
s 47121 [6027], -7.50,  0.40,  1.55, 60.91
s 142347 [7195], -6.11,  0.38,  3.36, 60.32
s Z36437 [6027], -6.73,  0.98,  0.85, 60.23
s 339223 [6045], -9.29, -0.95,  0.20, 60.80
s 129TOH 93-1 [13590], -6.94,  3.88,  3.03, 60.49
s PY-8 [6805], -9.18,  1.08,  1.08, 61.45
s 108846 [6027], -9.39,  3.38,  3.00, 63.52
s K-59/97 [7342],-10.45, -2.28,  0.68, 60.60
s Z27944 [6027], -9.27,  2.67,  1.63, 63.42
s Z27962 [6027], -5.81,  3.36,  1.23, 61.74
s Z27969 [6027], -7.98,  1.64,  2.35, 61.75
s 78RPS-5971 [5824],-10.22, -1.62,  1.34, 61.15
s P03-007A [12863], -9.88, -1.14,  0.54, 61.27
s Z27928 [6027], -7.71,  1.33,  1.46, 61.72
s 03SJP022-1 [12863],-10.11, -0.39,  0.65, 61.88
s 96-19-5 [8685], -9.55,  1.07,  1.81, 62.42
s 108845 [6027], -8.33,  1.91,  2.10, 62.55
s 212TTT 97-1 [13590], -8.10, -2.48,  3.50, 61.97
s 03SJP047-2-1 [12863],-10.78,  0.18,  0.83, 62.42
s 168TOH 94-1 [13590], -8.97,  0.17,  4.94, 61.60
s Z32680 [6027],-10.85,  2.88,  2.72, 64.04
s HJO-86-102 [5993],-10.49,  0.39,  2.54, 62.65
s Z18496 [6027],-10.39,  2.55,  1.25, 63.29
s 110TOH 93-1 [13590], -9.32,  0.94,  2.63, 62.09
s P03-007B [12863],-10.59, -0.27,  0.55, 62.13
s MB-3 [6805],-11.68,  2.12,  5.89, 62.54
s 98-6-12A [8685],-11.28,  1.80,  1.96, 63.42
s 118967 [7195], -9.58,  1.55,  2.14, 63.19
s 5TTT 97-1 [13590],-12.93, -1.09,  2.03, 62.52
